dev59_HR,dev60_SpO2,dev60_PI,dev59_PI,dev59_SpO2
90.0,100.0,0.4,8.0,97.0
90.0,100.0,0.4,8.0,97.0
89.0,100.0,0.4,5.0,97.0
89.0,100.0,0.4,5.0,97.0
89.0,100.0,0.4,5.0,97.0
89.0,100.0,0.4,5.0,97.0
89.0,100.0,0.4,5.0,97.0
89.0,100.0,0.4,5.0,97.0
89.0,100.0,0.4,5.0,97.0
89.0,100.0,0.4,5.0,97.0
90.0,100.0,0.4,5.0,96.0
90.0,100.0,0.4,5.0,96.0
90.0,100.0,0.4,5.0,96.0
90.0,100.0,0.4,5.0,96.0
90.0,100.0,0.4,4.0,95.0
90.0,100.0,0.4,4.0,95.0
90.0,100.0,0.4,4.0,95.0
90.0,100.0,0.4,4.0,95.0
89.0,100.0,0.4,5.0,96.0
89.0,100.0,0.4,5.0,96.0
89.0,100.0,0.4,5.0,96.0
89.0,100.0,0.4,5.0,96.0
90.0,100.0,0.4,5.0,95.0
90.0,100.0,0.4,5.0,95.0
90.0,100.0,0.4,5.0,95.0
90.0,100.0,0.4,5.0,95.0
92.0,100.0,0.4,4.0,95.0
92.0,100.0,0.4,4.0,95.0
92.0,100.0,0.4,4.0,95.0
92.0,100.0,0.4,4.0,95.0
92.0,100.0,0.4,4.0,95.0
92.0,100.0,0.4,4.0,95.0
92.0,100.0,0.4,4.0,95.0
93.0,100.0,0.4,4.0,95.0
94.0,100.0,0.4,6.0,94.0
94.0,100.0,0.4,6.0,94.0
94.0,100.0,0.4,6.0,94.0
94.0,100.0,0.4,6.0,94.0
94.0,100.0,0.4,5.0,94.0
94.0,100.0,0.4,5.0,94.0
94.0,100.0,0.4,5.0,94.0
94.0,100.0,0.4,5.0,94.0
96.0,100.0,0.4,4.0,93.0
96.0,100.0,0.4,4.0,93.0
96.0,100.0,0.4,4.0,93.0
96.0,100.0,0.4,4.0,93.0
96.0,100.0,0.4,5.0,94.0
96.0,100.0,0.4,5.0,94.0
96.0,100.0,0.4,5.0,94.0
96.0,100.0,0.4,5.0,94.0
95.0,100.0,0.4,4.0,94.0
95.0,100.0,0.4,4.0,94.0
95.0,100.0,0.4,4.0,94.0
95.0,100.0,0.4,4.0,94.0
95.0,100.0,0.4,5.0,94.0
95.0,100.0,0.4,5.0,94.0
95.0,100.0,0.4,5.0,94.0
95.0,100.0,0.4,5.0,94.0
96.0,100.0,0.4,5.0,95.0
96.0,100.0,0.4,5.0,95.0
96.0,100.0,0.4,5.0,95.0
96.0,100.0,0.4,5.0,95.0
94.0,100.0,0.4,5.0,95.0
94.0,100.0,0.4,5.0,95.0
94.0,100.0,0.4,5.0,95.0
94.0,100.0,0.4,5.0,95.0
93.0,100.0,0.4,5.0,95.0
93.0,100.0,0.4,5.0,95.0
93.0,100.0,0.4,5.0,95.0
93.0,100.0,0.4,5.0,95.0
94.0,100.0,0.4,4.0,96.0
94.0,100.0,0.4,4.0,96.0
94.0,100.0,0.4,4.0,96.0
94.0,100.0,0.4,4.0,96.0
94.0,100.0,0.4,5.0,96.0
94.0,100.0,0.4,5.0,96.0
94.0,100.0,0.4,5.0,96.0
94.0,100.0,0.4,5.0,96.0
96.0,100.0,0.4,4.0,96.0
96.0,100.0,0.4,4.0,96.0
96.0,100.0,0.4,4.0,96.0
96.0,100.0,0.4,4.0,96.0
96.0,100.0,0.4,5.0,96.0
96.0,100.0,0.4,5.0,96.0
96.0,100.0,0.4,5.0,96.0
96.0,100.0,0.4,5.0,96.0
97.0,100.0,0.4,5.0,96.0
97.0,100.0,0.4,5.0,96.0
97.0,100.0,0.4,5.0,96.0
97.0,100.0,0.4,5.0,96.0
97.0,100.0,0.4,5.0,96.0
97.0,100.0,0.4,5.0,96.0
97.0,99.0,0.4,5.0,96.0
97.0,99.0,0.4,5.0,96.0
97.0,99.0,0.4,4.0,96.0
97.0,99.0,0.4,4.0,96.0
97.0,99.0,0.4,4.0,96.0
97.0,99.0,0.4,4.0,96.0
